Job Title,Company Name,Job Location,Job Type,Experience Required,Posted Date,Application Deadline,Job Portal,Number of Applicants,Education Requirement,Skills Required,Remote/Onsite
Sr Data Scientist,Amazon,Ahmedabad,Full-time,2-5 years,1/16/2025,1/25/2025,LinkedIn,23,PhD,C++,Remote
Data Scientist,Infosys,Ahmedabad,Internship,2-5 years,12/25/2024,1/19/2025,Indeed,462,MBA,SQL,Remote
Data Scientist,Microsoft,Bangalore,Part-time,10+ years,12/31/2024,1/10/2025,Naukri.com,236,MBA,Python,Remote
(Sr.) Data Scientist -,Infosys,Hyderabad,Full-time,0-2 years,12/27/2024,1/13/2025,Indeed,345,B.Tech,AWS,Remote
Senior Data Scientist,Deloitte,Bangalore,Part-time,0-2 years,12/29/2024,1/8/2025,Indeed,107,PhD,Excel,Remote
Data Scientist,Deloitte, Jaipur,Contract,5-10 years,1/22/2025,1/29/2025,Naukri.com,430,M.Tech,Machine Learning,Remote
Data Scientist,  Amazon,Delhi,Full-time,2-5 years,1/7/2025,2/6/2025,LinkedIn,387,B.Tech,Machine Learning,Hybrid
Data Scientist,Infosys,Delhi,Full-time,10+ years,12/26/2024,1/8/2025,Indeed,,MBA,UI-UX,Onsite
Data Scientist,Wipro,Pune,Internship,None,12/27/2024,1/9/2025,Indeed,281,B.Sc,SQL,Remote
Data Scientist / Machine Learning Expert,Accenture,Noida,Full-time,5-10 years,12/30/2024,1/13/2025,LinkedIn,489,B.Tech,SQL,Hybrid
Data Scientist,Wipro,     Mumbai,Contract,0-2 years,1/10/2025,1/30/2025,Naukri.com,350,B.Tech,React,Onsite
Staff Data Scientist - Analytics,HCL,Ahmedabad,Part-time,5-10 years,1/21/2025,2/16/2025,Naukri.com,323,B.Tech,Java,Onsite
Data Scientist,Microsoft,Pune,Internship,5-10 years,1/6/2025,1/22/2025,Indeed,469,B.Tech,SQL,Remote
Data Scientist,Amazon,Mumbai,Part-time,5-10 years,12/30/2024,1/25/2025,LinkedIn,30,MBA,UI/UX,Onsite
Data Scientist,HCL,Hyderabad,Contract,5-10 years,1/20/2025,2/3/2025,Naukri.com,260,B.Tech,UI/UX,Hybrid
"Data Scientist - Statistics, Early Career",  Google,Noida,Part-time,2-5 years,1/1/2025,1/16/2025,Indeed,487,B.Tech,React,Hybrid
Data Modeler,Microsoft,Noida,Part-time,2-5 years,1/12/2025,2/7/2025,LinkedIn,80,M.Tech,Python,Onsite
Data Scientist,      Wipro,Delhi,Contract,2-5 years,12/23/2024,1/12/2025,Naukri.com,14,B.Sc,C++,Hybrid
Experienced Data Scientist,Deloitte,Delhi,Contract,2-5 years,1/17/2025,1/27/2025,Naukri.com,422,PhD,Java,Hybrid
Data Scientist - Contract,Wipro,Kolkata,Part-time,5-10 years,1/16/2025,2/5/2025,Naukri.com,360,B.Tech,Java,Onsite
Data Scientist,Infosys,Pune,Contract,10+ years,1/14/2025,1/29/2025,LinkedIn,271,B.Sc,Excel,Remote
Data Analyst II,IBM,Bangalore,Part-time,None,12/23/2024,12/30/2024,LinkedIn,,B.Tech,Digital Marketing,Hybrid
Medical Lab Scientist,HCL,Pune,Part-time,0-2 years,1/22/2025,2/3/2025,Naukri.com,350,M.Tech,Java,Remote
Data Scientist,Deloitte,Hyderabad,Part-time,2-5 years,12/25/2024,1/22/2025,LinkedIn,232,M.Tech,SQL,Hybrid
Data Scientist/Machine Learning,HCL,Kolkata,Part-time,2-5 years,1/20/2025,2/3/2025,Naukri.com,180,PhD,Excel,Remote
Human Factors Scientist,TCS,Pune,Contract,2-5 years,1/8/2025,2/3/2025,Naukri.com,76,B.Sc,Python,Remote
Business Intelligence Analyst I- Data Insights,IBM,Jaipur,Part-time,2-5 years,1/9/2025,2/3/2025,LinkedIn,262,B.Sc,AWS,Onsite
Data Scientist,Microsoft,Pune,Internship,5-10 years,12/28/2024,1/27/2025,Indeed,24,B.Sc,AWS,Onsite
Data Scientist,Microsoft,Delhi,Full-time,0-2 years,1/9/2025,2/7/2025,LinkedIn,133,B.Tech,UI/UX,Remote
Data Scientist - Risk,Amazon,Ahmedabad,Part-time,10+ years,1/16/2025,1/25/2025,Indeed,424,PhD,Excel,Onsite
Data Scientist-Human Resources,Google,Jaipur,Full-time,5-10 years,1/15/2025,1/27/2025,Indeed,288,B.Tech,Java,Onsite
Data Scientist,Infosys,Pune,Contract,5-10 years,1/1/2025,1/9/2025,Indeed,221,B.Tech,SQL,Onsite
Data Scientist,IBM, Ahmedabad,Internship,5-10 years,1/20/2025,2/12/2025,LinkedIn,251,M.Tech,Machine Learning,Onsite
Data Scientist,Amazon,Delhi,Contract,5-10 years,12/23/2024,1/7/2025,Indeed,449,MBA,React,Onsite
Data Scientist / Machine Learning Expert,Infosys,Delhi,Contract,0-2 years,1/14/2025,1/29/2025,Naukricom,337,MBA,UI/UX,Onsite
Data Scientist,Wipro,Bangalore,Full-time,0-2 years,1/13/2025,2/11/2025,Naukri.com,220,MBA,UI/UX,Onsite
Senior Research Statistician- Data Scientist,TCS, Chennai,Part-time,10+ years,1/7/2025,1/16/2025,Naukri.com,406,M.Tech,React,Hybrid
Data Engineer,Amazon,Hyderabad,Internship,0-2 years,12/29/2024,1/7/2025,LinkedIn,114,B.Sc,Digital Marketing,Remote
Associate Data Scientist,HCL,Ahmedabad,Contract,5-10 years,12/29/2024,1/14/2025,LinkedIn,208,B.Tech,UI/UX,Onsite
Business Intelligence Analyst,Amazon,Noida,Contract,5-10 years,12/31/2024,,Indeed,214,B.Tech,React,Onsite
Data Scientist,  Deloitte,Delhi,Part-time,10+ years,1/5/2025,1/21/2025,Indeed,300,B.Sc,SQL,Hybrid
Data Scientist,HCL,   Delhi,Internship,0-2 years,1/4/2025,1/17/2025,Naukri.com,196,PhD,Java,Remote
Senior Analyst/Data Scientist,Google,Noida,Part-time,2-5 years,12/24/2024,1/19/2025,LinkedIn,278,B.Tech,Excel,Hybrid
Data Analyst,Wipro,Hyderabad,Full-time,0-2 years,1/18/2025,2/17/2025,Naukri.com,391,B.Sc,Java,Hybrid
Machine Learning Engineer,Deloitte, Jaipur,Part-time,10+ years,12/29/2024,1/11/2025,Naukri.com,487,B.Sc,Machine Learning,Hybrid
Data Analyst I,IBM,Mumbai,Internship,0-2 years,12/23/2024,1/8/2025,LinkedIn,129,B.Sc,Java,Hybrid
Scientist - Molecular Biology,TCS,Ahmedabad,Internship,10+ years,12/31/2024,1/8/2025,Naukricom,429,B.Tech,Python,Onsite
Data Scientist,Microsoft,Hyderabad,Part-time,10+ years,1/4/2025,1/14/2025,Indeed,319,M.Tech,Machine Learning,Onsite
"Computational Scientist, Machine Learning",IBM,Ahmedabad,Internship,2-5 years,12/30/2024,1/20/2025,Indeed,158,B.Tech,Python,Onsite
Senior Data Scientist,  Infosys,Kolkata,,10+ years,12/29/2024,1/21/2025,Naukri.com,139,PhD,Machine Learning,Onsite
Data Scientist,HCL,Bangalore,Full-time,2-5 years,1/9/2025,1/31/2025,LinkedIn,108,B.Sc,Excel,
Data Scientist,Accenture,Kolkata,Contract,10+ years,1/20/2025,2/16/2025,Naukri.com,272,MBA,Digital Marketing,Remote
Data Scientist,Deloitte,Mumbai,Contract,5-10 years,12/24/2024,1/1/2025,Naukri.com,432,M.Tech,Digital Marketing,Remote
Data Analyst,Google,Delhi,Internship,5-10 years,1/3/2025,1/14/2025,LinkedIn,190,B.Sc,Java,Hybrid
Data Scientist,IBM,Pune,Full-time,0-2 years,12/26/2024,1/3/2025,Naukri.com,,B.Sc,React,Hybrid
Data Scientist,Infosys,Kolkata,Contract,2-5 years,,1/23/2025,Naukri.com,288,B.Tech,Java,Hybrid
Jr. Data Engineer,HCL,Bangalore,Full-time,5-10 years,12/26/2024,1/18/2025,LinkedIn,446,M.Tech,C++,Remote
E-Commerce Data Analyst,TCS,Mumbai,Contract,5-10 years,12/28/2024,1/16/2025,Indeed,268,PhD,C++,Remote
Data Analytics Engineer,Amazon,Kolkata,Full-time,5-10 years,1/22/2025,1/31/2025,Indeed,476,B.Sc,AWS,Hybrid
Senior Data Scientist,Wipro,Kolkata,Part-time,10+ years,12/30/2024,1/8/2025,Indeed,222,B.Sc,React,Hybrid
Product Data Scientist - Ads Data Science,HCL,Bangalore,Part-time,0-2 years,1/18/2025,2/8/2025,Indeed,472,PhD,C++,Hybrid
Data Scientist,IBM,Jaipur,Internship,10+ years,1/12/2025,1/26/2025,LinkedIn,138,PhD,SQL,Remote
Data Scientist - Intermediate,Infosys,Noida,Full-time,2-5 years,12/24/2024,1/12/2025,Indeed,474,B.Tech,Machine Learning,Onsite
Data Analyst,Microsoft,Delhi,Internship,0-2 years,1/14/2025,1/30/2025,Indeed,161,PhD,UI/UX,Onsite
Machine Learning Engineer,Deloitte,Bangalore,Full-time,0-2 years,1/1/2025,1/31/2025,Naukri.com,47,M.Tech,UI/UX,Hybrid
Data Scientist,Deloitte,Jaipur,Full-time,2-5 years,1/3/2025,1/24/2025,Indeed,48,M.Tech,AWS,Hybrid
Data Scientist,IBM,Jaipur,Full-time,10+ years,1/14/2025,1/22/2025,Naukri.com,350,B.Sc,UI/UX,Hybrid
Global Data Analyst,Deloitte,Hyderabad,Full-time,0-2 years,1/5/2025,1/14/2025,Indeed,237,B.Sc,Java,Hybrid
Data Engineer,Infosys,Bangalore,Internship,2-5 years,1/12/2025,2/6/2025,Indeed,228,PhD,Java,Onsite
Data Scientist,TCS,Hyderabad,Contract,2-5 years,1/12/2025,1/20/2025,Indeed,262,B.Tech,C++,Hybrid
Data Scientist,Accenture,Ahmedabad,Contract,2-5 years,12/31/2024,1/17/2025,Indeed,381,B.Sc,SQL,Remote
Data & Machine Learning Scientist,Accenture,Bangalore,Contract,10+ years,1/9/2025,2/6/2025,LinkedIn,148,M.Tech,C++,Onsite
Data Scientist - Machine Learning,Wipro,Pune,Internship,2-5 years,12/26/2024,1/12/2025,Indeed,316,MBA,Python,Remote
Data Engineer (Remote),Amazon,Mumbai,Part-time,5-10 years,1/15/2025,1/26/2025,LinkedIn,430,PhD,C++,Remote
"Data Scientist, Applied Machine Learning - Bay Area",Deloitte,Noida,Part-time,10+ years,12/27/2024,1/3/2025,Indeed,482,B.Tech,Java,Onsite
Principal Data Scientist,Accenture,Mumbai,Contract,2-5 years,1/20/2025,2/7/2025,Naukri.com,176,MBA,Python,Onsite
Business Data Analyst,Microsoft,Ahmedabad,Contract,2-5 years,1/22/2025,2/12/2025,LinkedIn,173,B.Sc,Java,Remote
Purification Scientist,Wipro,Ahmedabad,Internship,5-10 years,12/27/2024,1/18/2025,Naukri.com,42,M.Tech,Excel,Hybrid
Data Analyst,IBM,Ahmedabad,Contract,0-2 years,1/10/2025,2/9/2025,LinkedIn,241,B.Sc,Digital Marketing,Remote
"Data Engineer, Enterprise Analytics",Accenture,Noida,Contract,0-2 years,1/9/2025,1/24/2025,LinkedIn,160,M.Tech,AWS,Remote
Data Scientist,HCL,Delhi,Contract,2-5 years,1/16/2025,2/1/2025,LinkedIn,368,B.Sc,UI/UX,Onsite
Data Scientist,Infosys,Noida,Part-time,10+ years,1/14/2025,2/6/2025,Naukri.com,124,PhD,AWS,Remote
Data Scientist 3 (718),Wipro,Jaipur,Full-time,5-10 years,12/31/2024,1/30/2025,LinkedIn,299,MBA,C++,Remote
"Real World Science, Data Scientist",Infosys,Chennai,Contract,5-10 years,1/7/2025,1/16/2025,Naukri.com,62,B.Tech,Python,Onsite
Data Scientist,Wipro,Delhi,Part-time,10+ years,1/19/2025,2/9/2025,Naukri.com,263,MBA,Digital Marketing,Hybrid
Data Engineer,Accenture,Noida,Contract,0-2 years,1/5/2025,2/2/2025,Indeed,163,MBA,UI/UX,Remote
Data Scientist - Image and Video Analytics,HCL,Ahmedabad,Internship,10+ years,1/14/2025,1/27/2025,Naukri.com,102,MBA,Digital Marketing,Hybrid
Data Scientist,Infosys,Chennai,Part-time,10+ years,1/11/2025,2/2/2025,Indeed,356,M.Tech,React,Onsite
"Data Science Manager, Payment Acceptance - USA",Wipro,Hyderabad,Full-time,5-10 years,1/11/2025,2/9/2025,Naukri.com,24,PhD,AWS,Remote
Data Analyst,TCS,Mumbai,,0-2 years,12/27/2024,1/19/2025,Indeed,114,B.Tech,AWS,Hybrid
Data Scientist / Applied Mathematician,HCL,Jaipur,Full-time,2-5 years,1/17/2025,2/1/2025,Naukri.com,147,B.Sc,Digital Marketing,Onsite
Machine Learning Engineer,TCS,Mumbai,Contract,5-10 years,1/19/2025,1/29/2025,Naukri.com,120,B.Tech,C++,Onsite
Data Scientist,TCS,Hyderabad,Contract,5-10 years,1/5/2025,2/2/2025,LinkedIn,166,MBA,Java,Onsite
Patient Safety- Associate Data Scientist,IBM,Chennai,Full-time,5-10 years,,1/4/2025,Indeed,412,B.Sc,C++,Onsite
